Step,From,To,Distance_km,Duration_min
1,Depot(Start),P1,270.5578,195.09166666666667
2,P1,P2,1.9279000000000002,1.3616666666666668
3,P2,P8,39.6069,37.3
4,P8,P3,9.3978,11.455
5,P3,P5,1.8708,4.5233333333333325
6,P5,P4,6.0969,10.713333333333333
7,P4,P10,6.7406999999999995,10.998333333333333
8,P10,P7,12.7119,21.73
9,P7,P6,5.8775,11.278333333333334
10,P6,P9,4.5599,7.166666666666667
11,P9,LAST_STOP,242.51670000000001,185.98166666666665
12,LAST_STOP,Depot(End),13.149700000000001,14.178333333333335
