Step,From,To,Distance_km,Duration_min
1,Depot(Start),P10,59.5643,58.52833333333333
2,P10,P3,8.7913,20.71333333333333
3,P3,P5,2.7029,6.923333333333333
4,P5,P2,1.0634000000000001,2.925
5,P2,P1,3.9042,9.893333333333334
6,P1,P6,4.7482,9.795
7,P6,P4,7.084899999999999,15.126666666666667
8,P4,P7,1.8777000000000001,4.641666666666667
9,P7,P8,1.2748,3.216666666666667
10,P8,P9,2.4802,6.248333333333333
11,P9,P13,25.736099999999997,37.70333333333333
12,P13,P14,0.8198,2.1033333333333335
13,P14,P15,2.9243,7.3116666666666665
14,P15,P16,1.7333,4.496666666666667
15,P16,P20,3.71,9.338333333333333
16,P20,P18,3.0465,7.586666666666667
17,P18,P19,7.8024,16.365
18,P19,P17,7.4813,20.721666666666668
19,P17,P11,3.3426,6.586666666666667
20,P11,P12,2.1992,5.473333333333333
21,P12,LAST_STOP,64.0515,56.126666666666665
22,LAST_STOP,Depot(End),13.149700000000001,14.178333333333335
