Step,From,To,Distance_km,Duration_min
1,Depot(Start),P3,99.9041,102.775
2,P3,P2,4.827,9.205
3,P2,P5,17.379099999999998,27.276666666666664
4,P5,P6,5.2523,11.129999999999999
5,P6,P11,5.1117,8.245
6,P11,P8,5.9232,9.083333333333334
7,P8,P12,24.7327,37.373333333333335
8,P12,P10,12.178700000000001,19.805
9,P10,P13,4.766100000000001,8.716666666666667
10,P13,P14,2.8958000000000004,5.691666666666666
11,P14,P4,27.6174,43.3
12,P4,P9,16.1402,25.296666666666667
13,P9,P7,9.258299999999998,20.561666666666667
14,P7,P1,18.2655,27.240000000000002
15,P1,LAST_STOP,72.77810000000001,75.14333333333335
16,LAST_STOP,Depot(End),13.149700000000001,14.178333333333335
